,name,filename,filepath,genre
0,Albrecht_Durer,Albrecht_Durer_(1).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(1).jpg,Northern Renaissance
1,Albrecht_Durer,Albrecht_Durer_(10).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(10).jpg,Northern Renaissance
2,Albrecht_Durer,Albrecht_Durer_(100).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(100).jpg,Northern Renaissance
3,Albrecht_Durer,Albrecht_Durer_(101).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(101).jpg,Northern Renaissance
4,Albrecht_Durer,Albrecht_Durer_(102).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(102).jpg,Northern Renaissance
5,Albrecht_Durer,Albrecht_Durer_(103).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(103).jpg,Northern Renaissance
6,Albrecht_Durer,Albrecht_Durer_(104).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(104).jpg,Northern Renaissance
7,Albrecht_Durer,Albrecht_Durer_(105).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(105).jpg,Northern Renaissance
8,Albrecht_Durer,Albrecht_Durer_(106).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(106).jpg,Northern Renaissance
9,Albrecht_Durer,Albrecht_Durer_(107).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(107).jpg,Northern Renaissance
10,Albrecht_Durer,Albrecht_Durer_(108).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(108).jpg,Northern Renaissance
11,Albrecht_Durer,Albrecht_Durer_(109).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(109).jpg,Northern Renaissance
12,Albrecht_Durer,Albrecht_Durer_(11).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(11).jpg,Northern Renaissance
13,Albrecht_Durer,Albrecht_Durer_(110).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(110).jpg,Northern Renaissance
14,Albrecht_Durer,Albrecht_Durer_(111).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(111).jpg,Northern Renaissance
15,Albrecht_Durer,Albrecht_Durer_(112).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(112).jpg,Northern Renaissance
16,Albrecht_Durer,Albrecht_Durer_(113).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(113).jpg,Northern Renaissance
17,Albrecht_Durer,Albrecht_Durer_(114).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(114).jpg,Northern Renaissance
18,Albrecht_Durer,Albrecht_Durer_(115).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(115).jpg,Northern Renaissance
19,Albrecht_Durer,Albrecht_Durer_(116).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(116).jpg,Northern Renaissance
20,Albrecht_Durer,Albrecht_Durer_(117).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(117).jpg,Northern Renaissance
21,Albrecht_Durer,Albrecht_Durer_(118).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(118).jpg,Northern Renaissance
22,Albrecht_Durer,Albrecht_Durer_(119).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(119).jpg,Northern Renaissance
23,Albrecht_Durer,Albrecht_Durer_(12).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(12).jpg,Northern Renaissance
24,Albrecht_Durer,Albrecht_Durer_(120).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(120).jpg,Northern Renaissance
25,Albrecht_Durer,Albrecht_Durer_(121).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(121).jpg,Northern Renaissance
26,Albrecht_Durer,Albrecht_Durer_(122).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(122).jpg,Northern Renaissance
27,Albrecht_Durer,Albrecht_Durer_(123).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(123).jpg,Northern Renaissance
28,Albrecht_Durer,Albrecht_Durer_(124).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(124).jpg,Northern Renaissance
29,Albrecht_Durer,Albrecht_Durer_(125).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(125).jpg,Northern Renaissance
30,Albrecht_Durer,Albrecht_Durer_(126).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(126).jpg,Northern Renaissance
31,Albrecht_Durer,Albrecht_Durer_(127).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(127).jpg,Northern Renaissance
32,Albrecht_Durer,Albrecht_Durer_(128).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(128).jpg,Northern Renaissance
33,Albrecht_Durer,Albrecht_Durer_(129).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(129).jpg,Northern Renaissance
34,Albrecht_Durer,Albrecht_Durer_(13).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(13).jpg,Northern Renaissance
35,Albrecht_Durer,Albrecht_Durer_(130).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(130).jpg,Northern Renaissance
36,Albrecht_Durer,Albrecht_Durer_(131).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(131).jpg,Northern Renaissance
37,Albrecht_Durer,Albrecht_Durer_(132).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(132).jpg,Northern Renaissance
38,Albrecht_Durer,Albrecht_Durer_(133).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(133).jpg,Northern Renaissance
39,Albrecht_Durer,Albrecht_Durer_(134).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(134).jpg,Northern Renaissance
40,Albrecht_Durer,Albrecht_Durer_(135).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(135).jpg,Northern Renaissance
41,Albrecht_Durer,Albrecht_Durer_(136).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(136).jpg,Northern Renaissance
42,Albrecht_Durer,Albrecht_Durer_(137).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(137).jpg,Northern Renaissance
43,Albrecht_Durer,Albrecht_Durer_(138).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(138).jpg,Northern Renaissance
44,Albrecht_Durer,Albrecht_Durer_(139).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(139).jpg,Northern Renaissance
45,Albrecht_Durer,Albrecht_Durer_(14).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(14).jpg,Northern Renaissance
46,Albrecht_Durer,Albrecht_Durer_(140).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(140).jpg,Northern Renaissance
47,Albrecht_Durer,Albrecht_Durer_(141).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(141).jpg,Northern Renaissance
48,Albrecht_Durer,Albrecht_Durer_(142).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(142).jpg,Northern Renaissance
49,Albrecht_Durer,Albrecht_Durer_(143).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(143).jpg,Northern Renaissance
50,Albrecht_Durer,Albrecht_Durer_(144).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(144).jpg,Northern Renaissance
51,Albrecht_Durer,Albrecht_Durer_(145).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(145).jpg,Northern Renaissance
52,Albrecht_Durer,Albrecht_Durer_(146).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(146).jpg,Northern Renaissance
53,Albrecht_Durer,Albrecht_Durer_(147).jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_(147).jpg,Northern Renaissance
